ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
28	6	2	1	0.000000	18.000000	18.000000	0.000000	0.000000	0	N/A	N/A
29	3	1	1	0.000000	17.666667	17.666667	0.000000	0.000000	0	N/A	N/A
30	28	1	2	0.000000	18.428571	18.428571	0.000000	0.000000	0	N/A	N/A
31	65	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
32	5	1	2	0.000000	3.200000	3.200000	0.000000	0.000000	0	N/A	N/A
33	9	1	1	0.000000	23.000000	21.222222	0.000000	0.000000	0	N/A	N/A
34	184	1	2	0.000000	16.326087	15.831522	0.000000	0.000000	0	N/A	N/A
35	452	1	2	0.000000	13.969027	13.360619	0.000000	0.000000	0	N/A	N/A
36	135	1	2	0.000000	9.525926	9.066667	0.000000	0.000000	0	N/A	N/A
37	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
38	496	1	2	0.000000	16.705645	16.500000	0.000000	0.000000	0	N/A	N/A
39	214	2	2	0.000000	14.126168	13.616822	0.000000	0.000000	0	N/A	N/A
40	1325	1	2	0.000000	14.673208	14.267925	0.000000	0.000000	0	N/A	N/A
41	13	1	1	0.000000	9.076923	8.538462	0.000000	0.000000	0	N/A	N/A
42	2	2	2	0.000000	18.000000	17.000000	0.000000	0.000000	0	N/A	N/A
43	2	1	1	0.000000	9.000000	8.000000	0.000000	0.000000	0	N/A	N/A
44	6	2	2	0.000000	12.666667	11.666667	0.000000	0.000000	0	N/A	N/A
45	39	1	1	0.000000	8.128205	7.769231	0.000000	0.000000	0	N/A	N/A
46	29	1	1	0.000000	7.448276	7.448276	0.000000	0.000000	0	N/A	N/A
47	10	1	2	0.000000	14.800000	14.200000	0.000000	0.000000	0	N/A	N/A
48	69	2	0	0.000000	1.144928	1.144928	0.000000	0.000000	0	N/A	N/A
49	3	1	1	0.000000	7.333333	7.333333	0.000000	0.000000	0	N/A	N/A
50	31	1	1	0.000000	24.774194	24.774194	0.000000	0.000000	0	N/A	N/A
51	214	2	3	0.000000	21.228972	21.228972	0.000000	0.000000	0	N/A	N/A
52	712	0	2	0.000000	11.818820	11.266854	0.000000	0.000000	0	N/A	N/A
53	17	1	1	0.000000	8.235294	8.235294	0.000000	0.000000	0	N/A	N/A
54	14	1	2	0.000000	10.785714	10.785714	0.000000	0.000000	0	N/A	N/A
55	141	2	3	0.000000	11.744681	11.744681	0.000000	0.000000	0	N/A	N/A
56	250	1	2	0.000000	14.692000	14.320000	0.000000	0.000000	0	N/A	N/A
57	10	2	1	0.000000	18.300000	17.300000	0.000000	0.000000	0	N/A	N/A
58	5	2	1	0.000000	9.400000	9.400000	0.000000	0.000000	0	N/A	N/A
59	6	2	1	0.000000	2.500000	2.500000	0.000000	0.000000	0	N/A	N/A
60	6	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	N/A	N/A
61	12	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	N/A	N/A
62	7	1	1	0.000000	2.571429	2.571429	0.000000	0.000000	0	N/A	N/A
63	8	1	1	0.000000	12.875000	11.875000	0.000000	0.000000	0	N/A	N/A
64	129	1	1	0.000000	12.542636	12.302326	0.000000	0.000000	0	N/A	N/A
65	615	2	2	0.000000	12.518699	12.055285	0.000000	0.000000	0	N/A	N/A
66	1394	0	2	0.000000	10.162841	9.885222	0.000000	0.000000	0	N/A	N/A
67	64	1	2	0.000000	17.062500	16.906250	0.000000	0.000000	0	N/A	N/A
68	38	2	1	0.000000	1.078947	1.078947	0.000000	0.000000	0	N/A	N/A
69	14	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
70	5	1	2	0.000000	20.400000	20.400000	0.000000	0.000000	0	N/A	N/A
71	32	1	2	0.000000	18.062500	16.687500	0.000000	0.000000	0	N/A	N/A
72	130	0	0	0.000000	5.576923	5.338462	0.000000	0.000000	0	N/A	N/A
73	72	1	0	0.000000	1.027778	1.027778	0.000000	0.000000	0	N/A	N/A
74	67	1	1	0.000000	16.522388	16.014925	0.000000	0.000000	0	N/A	N/A
75	49	2	1	0.000000	1.224490	1.224490	0.000000	0.000000	0	N/A	N/A
76	1	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	N/A	N/A
77	1477	1	2	0.000000	12.744076	12.329045	0.000000	0.000000	0	N/A	N/A
78	529	1	2	0.000000	6.075614	5.899811	0.000000	0.000000	0	N/A	N/A
79	102	0	0	0.000000	3.323529	3.323529	0.000000	0.000000	0	N/A	N/A
80	5	1	1	0.000000	1.600000	1.600000	0.000000	0.000000	0	N/A	N/A
81	19	1	1	0.000000	10.631579	4.210526	0.000000	0.000000	0	N/A	N/A
